Phenotype,RMSE,MAE,PearsonR,R2,Bias
Flowering Time RRA,7.32,5.68,0.0517,0.00268,-0.0842
Flowering Time Sum Ratio RRA,6.77,5.38,0.33,0.109,0.331
Plant Height,18.6,13.3,0.636,0.405,5.41
Stem Diameter,7.93,4.75,-0.0651,0.00423,-0.433
Beta Carotene,0.0339,0.0258,0.0589,0.00347,-0.00442
Lutein,0.512,0.371,0.0998,0.00996,-0.0605
Zeaxanthin,0.452,0.203,-0.1,0.01,-0.0148
Grain_number_per_primary_panicle,464,349,0.0828,0.00685,-82.5
Thousand_grain_weight_gm,4.53,3.3,0.037,0.00137,0.661
Grain_yield_per_primary_panicle_gm,11,8.39,0.16,0.0255,-0.891